Arcade,Art & Design,Auto & Vehicles,Beauty,Board,Books & Reference,Business,Card,Casino,Casual,Comics,Communication,Dating,Education,Educational,Entertainment,Events,Finance,Food & Drink,Health & Fitness,House & Home,Libraries & Demo,Lifestyle,Maps & Navigation,Medical,Music,Music & Audio,News & Magazines,Parenting,Personalization,Photography,Productivity,Puzzle,Racing,Role Playing,Shopping,Simulation,Social,Sports,Strategy,Tools,Travel & Local,Trivia,Video Players & Editors,Weather,Word,Year
5,1,6,4,2,12,48,4,0,8,0,17,0,47,3,21,2,35,8,20,3,4,20,9,16,1,11,4,2,3,6,31,7,2,13,19,7,10,10,7,45,15,2,3,4,1,2009
3,0,0,0,0,2,1,3,0,2,0,3,1,2,0,4,0,2,0,0,0,0,0,1,2,0,1,5,0,1,1,5,0,0,0,2,0,0,3,0,5,4,0,0,1,1,2010
2,0,0,0,1,10,6,2,0,1,0,6,0,12,1,3,0,8,0,4,0,1,11,7,1,0,7,8,0,5,4,11,5,0,2,3,0,3,13,0,16,4,3,1,2,1,2011
4,0,0,0,2,25,7,0,0,3,0,3,0,20,2,8,0,7,0,5,0,0,14,8,4,1,9,11,0,13,1,10,6,0,1,3,0,5,8,4,23,9,0,1,3,1,2012
8,1,1,0,1,28,12,0,0,7,0,2,1,37,2,10,0,23,3,8,0,1,19,8,6,0,19,20,2,15,4,9,13,3,1,4,3,9,9,1,34,10,2,3,1,2,2013
6,0,4,0,0,42,18,5,2,6,1,10,0,60,9,27,0,23,2,15,1,1,30,14,12,0,37,11,1,29,11,21,15,6,2,10,5,9,23,4,45,17,3,4,4,2,2014
6,0,1,2,4,71,36,5,0,19,2,10,2,85,16,31,0,14,7,22,2,3,47,27,11,3,55,21,0,34,16,30,20,2,5,19,8,15,21,4,48,16,2,10,5,1,2015
12,4,8,1,8,84,46,8,1,15,1,13,1,148,9,70,1,18,10,32,6,1,68,17,22,0,63,28,1,50,28,42,24,1,7,34,7,33,23,9,57,35,3,9,2,6,2016
20,13,14,8,4,144,66,4,4,11,1,24,5,235,19,129,5,42,36,60,9,11,114,17,19,6,123,30,6,87,44,58,30,7,6,29,13,37,34,5,97,49,6,3,6,12,2017
17,15,12,15,7,192,105,5,1,26,3,37,3,305,17,176,9,57,60,76,11,3,134,23,23,1,156,49,8,153,55,58,29,4,9,48,22,36,38,5,117,46,9,8,12,11,2018
25,9,19,14,7,120,77,4,2,26,4,26,3,197,17,102,15,38,45,52,7,1,68,9,15,6,120,38,2,68,31,45,42,7,13,42,24,23,37,7,97,51,4,9,4,15,2019
10,10,5,3,3,53,40,4,1,9,1,15,1,95,10,50,3,17,23,28,3,4,43,6,7,1,56,10,1,18,7,26,22,4,6,24,9,5,13,3,52,11,5,8,3,8,2020
